Year,Births,Source
1736,50899,Tab 27
1737,52063,Tab 27
1738,57346,Tab 27
1739,62383,Tab 27
1740,54955,Tab 27
1741,54558,Tab 27
1742,53830,Tab 27
1743,50900,Tab 27
1744,59178,Tab 27
1745,62847,Tab 27
1746,60082,Tab 27
1747,60253,Tab 27
1748,58564,Tab 27
1749,59483,Tab 28
1750,64511,Tab 28
1751,69291,Tab 28
1752,64973,Tab 28
1753,66007,Tab 28
1754,68759,Tab 28
1755,70008,Tab 28
1756,67987,Tab 28
1757,61675,Tab 28
1758,63262,Tab 28
1759,63865,Tab 28
1760,68384,Tab 28
1761,67324,Tab 28
1762,68268,Tab 28
1763,68231,Tab 28
1764,67988,Tab 28
1765,65872,Tab 28
1766,67061,Tab 28
1767,70744,Tab 28
1768,67719,Tab 28
1769,66954,Tab 28
1770,67172,Tab 28
1771,65988,Tab 28
1772,58972,Tab 28
1773,51164,Tab 28
1774,68520,Tab 28
1775,71642,Tab 28
